time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-14 00:00:00+00:00,,,8.0,2.0
2022-11-15 00:00:00+00:00,,,7.0,2.0
2022-11-16 00:00:00+00:00,73.0,26.0,417.0,4.0
2022-11-17 00:00:00+00:00,138.0,46.0,350.0,5.0
2022-11-18 00:00:00+00:00,32.0,13.0,49.0,3.0
2022-11-19 00:00:00+00:00,1.0,1.0,,
2022-11-20 00:00:00+00:00,2.0,2.0,,
2022-11-21 00:00:00+00:00,51.0,19.0,170.0,4.0
2022-11-22 00:00:00+00:00,10.0,7.0,4.0,1.0
2022-11-23 00:00:00+00:00,1.0,1.0,1.0,1.0
2022-11-24 00:00:00+00:00,2.0,2.0,,
2022-11-25 00:00:00+00:00,2.0,2.0,,
2022-11-26 00:00:00+00:00,16.0,9.0,30.0,1.0
