time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-03 00:00:00+00:00,45,18,32,4
2022-11-04 00:00:00+00:00,21,10,3,2
2022-11-05 00:00:00+00:00,1,1,0,0
2022-11-07 00:00:00+00:00,38,16,91,6
2022-11-08 00:00:00+00:00,26,11,154,4
2022-11-09 00:00:00+00:00,106,36,185,6
2022-11-10 00:00:00+00:00,74,24,77,3
2022-11-11 00:00:00+00:00,8,5,57,2
2022-11-13 00:00:00+00:00,0,0,1,1
2022-11-14 00:00:00+00:00,0,0,8,2
2022-11-15 00:00:00+00:00,0,0,7,2
2022-11-16 00:00:00+00:00,73,26,417,4
2022-11-17 00:00:00+00:00,138,46,350,5
2022-11-18 00:00:00+00:00,32,13,49,3
2022-11-19 00:00:00+00:00,1,1,0,0
2022-11-20 00:00:00+00:00,2,2,0,0
2022-11-21 00:00:00+00:00,51,19,170,4
2022-11-22 00:00:00+00:00,10,7,4,1
2022-11-23 00:00:00+00:00,1,1,1,1
2022-11-24 00:00:00+00:00,2,2,0,0
2022-11-25 00:00:00+00:00,2,2,0,0
2022-11-26 00:00:00+00:00,16,9,30,1
2022-11-27 00:00:00+00:00,1,1,0,0
2022-11-28 00:00:00+00:00,1,1,10,2
2022-11-29 00:00:00+00:00,1,1,0,0
2022-11-30 00:00:00+00:00,7,5,9,1
2022-12-01 00:00:00+00:00,1,1,0,0
2022-12-02 00:00:00+00:00,3,3,0,0
2022-12-03 00:00:00+00:00,1,1,0,0
2022-12-04 00:00:00+00:00,1,1,0,0
2022-12-05 00:00:00+00:00,1,1,0,0
2022-12-06 00:00:00+00:00,1,1,1,1
2022-12-07 00:00:00+00:00,4,3,0,0
2022-12-08 00:00:00+00:00,10,5,59,3
2022-12-09 00:00:00+00:00,1,1,0,0
2022-12-10 00:00:00+00:00,2,2,0,0
2022-12-11 00:00:00+00:00,1,1,0,0
2022-12-12 00:00:00+00:00,3,2,0,0
2022-12-13 00:00:00+00:00,1,1,0,0
